Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
attZombiome1Desc,progression,Attribute,,,意識は、ゾンビームの奇妙な}動をどれだけ感じられるかを測定する。震源地を{査するたびに増加する。,,,,,
attZombiome1Name,progression,Attribute,,,属性バイオーム認識,,,,,
reqZombiomePoints0,progression,Attribute,,,必要です。震源地を1つ{査する,,,,,
reqZombiomePoints1,progression,Attribute,,,必要なもの震源地2ヶ所を{査する,,,,,
reqZombiomePoints2,progression,Attribute,,,必要なもの震源地3ヶ所を{査する,,,,,
reqZombiomePoints3,progression,Attribute,,,必要なもの4つの震源地を{査する,,,,,
reqZombiomePoints4,progression,Attribute,,,必要なもの震源地5ヶ所を{査する,,,,,
reqZombiomePoints5,progression,Attribute,,,必要なもの震源地を10ヶ所{査する,,,,,
reqZombiomePoints6,progression,Attribute,,,必要なもの20の震源地を{査する,,,,,
reqZombiomePoints7,progression,Attribute,,,必要なものバイオームレベル100,,,,,
attBiomeRank00Desc,progression,Attribute,,,無意識のうちに,,,,,
attBiomeRank00LongDesc,progression,Attribute,,,"""[AAAAA]何か変だけど、それに気づける？[-]""",,,,,
attBiomeRank01Desc,progression,Attribute,,,クライマートセプティック,,,,,
attBiomeRank01LongDesc,progression,Attribute,,,"""Investigate: 1 epicenter.\n[CCCCAA] You thought an ecosystem was a money saving plan.バイオメダス2個(プライマリ、セカンダリ)、バースト1個(プライマリ)をアンロックする。",,,,,
attBiomeRank02Desc,progression,Attribute,,,ネイチャーラバー,,,,,
attBiomeRank02LongDesc,progression,Attribute,,,"「Investigate: 2 epicenters.\n[CCCCAA] You love nature, especially on postcards.\nUnlock one more BiomeDust power: Burst secondary attack.\nDust Radial menu provides 1 free burst each day.""",,,,,
attBiomeRank03Desc,progression,Attribute,,,観光客,,,,,
attBiomeRank03LongDesc,progression,Attribute,,,"""{査 ""だ3 epicenters.\n[CCCCAA]You only believe what you see.[-]\nUnlock all BiomeDust powers (primary, secondary, <activate> and <throw>)."".",,,,,
attBiomeRank04Desc,progression,Attribute,,,悔しい,,,,,
attBiomeRank04LongDesc,progression,Attribute,,,{査してください。4 epicenters.\n[CCCCAA]Why didn't we listen ?[-]\nYou draw +25%@ from environment.,,,,,
attBiomeRank05Desc,progression,Attribute,,,フェイタリスト,,,,,
attBiomeRank05LongDesc,progression,Attribute,,,"""{査：震源地5ヶ所"" ""どうせ何もできないし... -"" ""中級ダストクラフトのロックを解除"" ""親和性のある乗り物を手配(色指定、コスト：20@)""",,,,,
attBiomeRank06Desc,progression,Attribute,,,ファイティングフル,,,,,
attBiomeRank06LongDesc,progression,Attribute,,,ⅷ環境から+50%ドロー ⅷダストラジアルメニューは毎日1回無料でリカラーできる。,,,,,
attBiomeRank07Desc,progression,Attribute,,,移住者,,,,,
attBiomeRank07LongDesc,progression,Attribute,,,ってな具合に。,,,,,
attBiomeRank08Desc,progression,Attribute,,,退任,,,,,
attBiomeRank08LongDesc,progression,Attribute,,,{査対象：震源地50か所 ㊧環境から+100％引き寄せる,,,,,
skillZBbiomedustName,progression,Skill,,,バイオメダス特典,,,,,
skillZBbiomedustDesc,progression,Skill,,,BiomeDust perks ⅳNB:currently in dev.,,,,,
skillZBspelldustName,progression,Skill,,,スペルダストの特典,,,,,
skillZBspelldustDesc,progression,Skill,,,スペルダストの特典,,,,,
perkZBelementalDesc,progression,perk Per,,,インクルエレメンタル,,,,,
perkZBelementalName,progression,perk Per,,,エレメンタル,,,,,
perkZBelementalRank1Desc,progression,perk Per,,,R1,,,,,
perkZBelementalRank1LongDesc,progression,perk Per,,,ポットショット。打てます。,,,,,
perkZBelementalRank2Desc,progression,perk Per,,,R2,,,,,
perkZBelementalRank2LongDesc,progression,perk Per,,,ポットショット。打てます。,,,,,
reqZBelementalLevel01,progression,Attribute,,,他に魔法のような選択肢はない,,,,,
__SPEC__,ui_display,Item stat,,,__________________________________________________,,,,,
perkZBA_builderName,progression,perk Per,,,ビルダー,,,,,
perkZBA_builderDesc,progression,perk Per,,,壁面の改善,,,,,
perkZBA_builderRank1Desc,progression,perk Per,,,ウォールビルダー,,,,,
perkZBA_builderRank1LongDesc,progression,perk Per,,,壁が高い：[228B22]@[-]木材 [FFFAF0]@[-]ガラス [FA3232]@[-]石材 ,,,,,
reqZBA_builderLevel01,progression,Attribute,,,MotherLodeとGreaseMonkeyのLv.2,,,,,
perkZBA_earthlyName,progression,perk Per,,,アースリー,,,,,
perkZBA_earthlyDesc,progression,perk Per,,,地盤振動の影響を改善,,,,,
perkZBA_earthlyRank1Desc,progression,perk Per,,,アースリー,,,,,
perkZBA_earthlyRank1LongDesc,progression,perk Per,,,地盤振動の影響を改善,,,,,
reqZBA_earthlyLevel01,progression,Attribute,,,TreasureHunterとMiner69のLv.2,,,,,
perkZBA_summonName,progression,perk Per,,,サモナー,,,,,
perkZBA_summonDesc,progression,perk Per,,,親和性召喚を改善する,,,,,
perkZBA_summonRank1Desc,progression,perk Per,,,サモナー,,,,,
perkZBA_summonRank1LongDesc,progression,perk Per,,,召喚獣の動きが早い．,,,,,
reqZBA_summonLevel01,progression,Attribute,,,アニマルトラッカーとハンツマンLv.2,,,,,
perkZBA_skinnerName,progression,perk Per,,,スキナー,,,,,
perkZBA_skinnerDesc,progression,perk Per,,,スキンの効果を向上させます。[FA3232]@[-]Stone [007FFF]@[-]Ice [FFFAF0]@[-]Metal [6B6E6C]@[-]Dread [228B22]@[-]Wooden,,,,,
perkZBA_skinnerRank1Desc,progression,perk Per,,,スキナー,,,,,
perkZBA_skinnerRank1LongDesc,progression,perk Per,,,肌寿命が15秒長くなった,,,,,
reqZBA_skinnerLevel01,progression,Attribute,,,ヘビーアーマーとライトアーマーLv.2,,,,,
perkZBA_fighterName,progression,perk Per,,,ファイター,,,,,
perkZBA_fighterDesc,progression,perk Per,,,バイオメダストとの戦闘力向上,,,,,
perkZBA_fighterRank1Desc,progression,perk Per,,,ファイター,,,,,
perkZBA_fighterRank1LongDesc,progression,perk Per,,,近接攻撃を強化。[FFFAF0]@[-][6B6E6C]@[-][228B22]@[-] ,,,,,
reqZBA_fighterLevel01,progression,Attribute,,,DaringAdventurerとHiddenStrikeのLv.2。,,,,,
perkZBA_elementsName,progression,perk Per,,,エレメンタリスト,,,,,
perkZBA_elementsDesc,progression,perk Per,,,エレメンタル効果を向上させる。[FA3232]@[-]MeteoreRain [FA3232]@[-]StoneRain [007FFF]@[-]HailStorm,,,,,
perkZBA_elementsRank1Desc,progression,perk Per,,,エレメンタリスト,,,,,
perkZBA_elementsRank1LongDesc,progression,perk Per,,,長大な吹雪と落石,,,,,
reqZBA_elementsLevel01,progression,Attribute,,,perkAdvancedEngineeringとperkWellInsulatedのLv2。,,,,,
perkZBA_fertilityName,progression,perk Per,,,受胎能力,,,,,
perkZBA_fertilityDesc,progression,perk Per,,,育成効果向上,,,,,
perkZBA_fertilityRank1Desc,progression,perk Per,,,受胎能力,,,,,
perkZBA_fertilityRank1LongDesc,progression,perk Per,,,"""[228B22]@[-]Cactus, [6B6E6C]@[-]BloodyCoffe and [007FFF]@[-]IceWall return 15@ """,,,,,
reqZBA_fertilityLevel01,progression,Attribute,,,perkLivingOffTheLandとperkFromTheShadowsのLv2。,,,,,
perkZBA_throwerName,progression,perk Per,,,投影機,,,,,
perkZBA_throwerDesc,progression,perk Per,,,バイオメダストの投擲効果を向上させる,,,,,
perkZBA_throwerRank1Desc,progression,perk Per,,,投影機,,,,,
perkZBA_throwerRank1LongDesc,progression,perk Per,,,"""投げることでスタミナ切れを軽減、全@""",,,,,
reqZBA_throwerLevel01,progression,Attribute,,,perkRunAndGun、perkPenetrator Lv.2,,,,,
__BUFFS__,ui_display,Item stat,,,__________________________________________________,,,,,
buffZBManagerDesc,,buffs,Buff,--,Zombiomeをインストール,Zombiome est installé,,,,
buffZBManagerName,,buffs,Buff,--,ZBマネージャー,,,,,
buffZBManagerRunDesc,,buffs,Buff,--,Zombiomeは、実行中です。,Zombiome est actif,,,,
buffZBManagerRunName,,buffs,Buff,--,ZomBiome 活動,,,,,
buffSlipperyDesc,,buffs,Buff,--,あなたの手は滑りやすい,Vos mains sont glissantes,,,,
buffSmallestName,,buffs,Buff,--,収縮率,Retrecissement,,,,
buffSmallestDesc,,buffs,Buff,--,あなたはとても小さいです - そのラビットに注意してください。,Vous etes tout petit !,,,,
buffGiantDesc,,buffs,Buff,--,あなたは巨人です。何を踏みつけるのでしょうか？,Vous etes géant,,,,
buffGravityName,,buffs,Buff,--,重力場,,,,,
buffGravityDesc,,buffs,Buff,--,体が重く感じる,Vous vous sentez massif,,,,
buffGravityStrongDesc,,buffs,Buff,--,地面に叩きつけられるような感覚,Vous etes écrasé au sol,,,,
buffAntiGravityDesc,,buffs,Buff,--,気分は宇宙飛行士？,Seriez-vous sur la lune?,,,,
buffZBRadiatedName,,buffs,Buff,--,光放射,Irradiation légère,,,,
buffZBRadiatedDesc,,buffs,Buff,--,放射線の影響で体が弱っている。消えるまで静かにしていなさい。,Irradiation légère,,,,
buffEjectableName,,buffs,Buff,--,イジェクト可能(zb),,,,,
buffEjectableDesc,,buffs,Buff,--,弱く、軽く感じる,Vous vous sentez frele,,,,
buffZBShockedDesc,,buffs,Buff,--,電化,Electric,,,,
buffZBChargedName,,buffs,Buff,--,スタティックチャージ(zb),,,,,
buffZBChargedTooltip,,buffs,Buff,--,静電気を帯びる,Charges statiques,,,,
buffZBChargedDesc,,buffs,Buff,--,"""あなたは異常な静電気を帯びています。水、損傷、金属を避けてください。""",Accumulation de charge statique,,,,
buffZBFrozenDesc,,buffs,Buff,--,あなたは凍っている,Mr Freeze,,,,
buffZBPoisonDesc,,buffs,Buff,--,あなたは毒されています。気分が良くなるまで黙っていなさい。,Empoisonnement !,,,,
buffZBBlindedDesc,,buffs,Buff,--,あなたの目は砂でいっぱい,Vous avez du sable dans les yeux,,,,
buffZBFrozenName,,buffs,Buff,newKey,フローズン(zb),,,,,
buffZBPoisonName,,buffs,Buff,newKey,ポイズン(zb),,,,,
buffZBBlindedName,,buffs,Buff,newKey,ブラインド(zb),,,,,
buffZBSlipperyName,,buffs,Buff,newKey,手が滑る(zb),,,,,
buffZBLightenDesc,,buffs,Buff,newKey,あなたはとても魅力的な人です。,,,,,
buffZBLightenName,,buffs,Buff,newKey,アトラクティブ(zb),,,,,
buffZBBoilingName,,buffs,Buff,newKey,沸騰(zb),,,,,
buffZBBoilingDesc,,buffs,Buff,--,沸騰しています,,,,,
buffZBCharredName,,buffs,Buff,newKey,焦げ目(zb),,,,,
buffZBCharredDesc,,buffs,Buff,--,焦げている,,,,,
buffZBauraEjectingFastName,,buffs,Buff,newKey,反発(zb),,,,,
buffZBauraEjecting,,buffs,Buff,newKey,反発(zb),,,,,
buffZBauraEjectingDesc,,buffs,Buff,--,ゾンビも顔負けのブサイクさ,Votre laideur repousse meme les zombies,,,,
buffZBauraInjecting,,buffs,Buff,newKey,磁気(zb),,,,,
buffZBauraInjectingDesc,,buffs,Buff,--,自分の磁力でゾンビを引き寄せる,Votre magnétisme naturel attire les zombies,,,,
buffZBposessedName,,buffs,Buff,newKey,ポゼッション(zb),,,,,
buffZBposessedTip,,buffs,Buff,--,あなたは{依されている !,,,,,
buffZBposessedDesc,,buffs,Buff,--,あなたは{依されており、ランダムな行動を取ります。手に持っているものに注意また、自分のミスに対する最高の言い訳の1つです。,,,,,
buffZBRootedName,,buffs,Buff,newKey,ルーツ(zb),,,,,
buffZBRootedDesc,,buffs,Buff,--,足が根っこで動かない,,,,,
buffZBSlowAtkName,,buffs,Buff,newKey,スローアタック(zb),,,,,
buffZBSlowAtkDesc,,buffs,Buff,--,腕が石より重く感じる,,,,,
buffZBmadMercuryName,,buffs,Buff,newKey,マッドマーキュリー(zb),,,,,
buffZBmadMercuryDesc,,buffs,Buff,--,感じる温度を増幅させる。,,,,,
buffZBpegasusName,,buffs,Buff,newKey,ペガサス龍閃(zb),,,,,
buffZBpegasusDesc,,buffs,Buff,--,沙織サンのために,,,,,
buffZBbouncingName,,buffs,Buff,newKey,バウンシング(zb),,,,,
buffZBbouncingDesc,,buffs,Buff,--,バウンシング(zb),,,,,
__BUFFS_ZBhand__,ui_display,Item stat,,,__________________________________________________,,,,,
buffZBLeacherName,,buffs,Buff,newKey,リーチャー(zb),,,,,
buffZBLeacherDesc,,buffs,Buff,--,黒色の親和性の高い素材を当てて回復する。ダメージ増加,,,,,
buffZBInvisibleName,,buffs,Buff,newKey,イン・ザ・シャドウズ(zb),,,,,
buffZBInvisibleDesc,,buffs,Buff,--,"「見えないけど、恐怖の匂いがする！？""忍び寄り ""が改良された - しゃがむ必要がある。\「次の攻撃で隠蔽を破り内臓を取り出す」",,,,,
buffZBInvisibleTip,,buffs,Buff,--,あなたは影に隠れている,,,,,
buffZBArmorDeathName,,buffs,Buff,newKey,ドレッドスキン(zb),,,,,
buffZBArmorDeathDesc,,buffs,Buff,--,次にヒットしたゾンビを殺す,,,,,
buffZBArmorIceName,,buffs,Buff,newKey,アイススキン(zb),,,,,
buffZBArmorIceDesc,,buffs,Buff,--,氷の皮膚は、あらゆるダメージを無効化しますが、動きを妨げます。,,,,,
buffZBArmorStoneName,,buffs,Buff,newKey,ストーンスキン(zb),,,,,
buffZBArmorStoneDesc,,buffs,Buff,--,"""炎の免疫と30％のダメージ軽減を得るが、石が邪魔をする""",,,,,
buffZBArmorMetalName,,buffs,Buff,--,メタルスキン（zb）,,,,,
buffZBArmorMetalDesc,,buffs,Buff,--,メタルスキンは、身近な存在を見えなくする,,,,,
buffZB_GGskinName,,buffs,Buff,--,ウッド・スキン（zb）,,,,,
buffZB_GGskinDesc,,buffs,Buff,--,攻撃速度が3倍になり、スタミナが付与される。,,,,,
buffZBurstDesc,,buffs,Buff,--,あなたはバイオームエネルギーに満ち溢れている。バイオメダストはより強力なパワーを解放し、アフィニティーを消費する。,,,,,
buffZBurstName,,buffs,Buff,--,アフィニティバースト,,,,,
__QUESTS__,ui_display,Item stat,,,__________________________________________________,,,,,
questZB_epicenter_subtitle,Quest,Quest Info,,,震源地に近い場所にいる,,,,,
questZB_epicenter_statement,Quest,Quest Info,,,震源地に近い場所にいる,,,,,
questZB_epicenter,Quest,Quest Info,,,Zombiome Epicenterを{査する,,,,,
questZB_epicenter_description,Quest,Quest Info,,,Zombiome Epicenterを{査する,,,,,
questZB_epicenter_completion,Quest,Quest Info,,,あなたはバイオメダストを発見し、震源地反応を生き延びたのです,,,,,
ZBObjectiveMain_keyword,Quest,Keywords,,,Weird Biomes ({0})。,,,,,
quest_Zombiome,Quest,Quest Info,,,ゾンビオム,,,,,
quest_Zombiome1,Quest,Quest Info,,,ゾンビオム 1/1,,,,,
quest_Zombiome_description,Quest,Quest Info,,,怪奇生物探し」「悪の根源を探る」。,,,,,
quest_Zombiome1_subtitle,Quest,Quest Info,,,変なバイオーム活動,,,,,
quest_Zombiome1_description,Journal Tip,,,,"""悪の根源を{査せよ"" メモの裏には模式図のような}が描かれている。おそらくゾンビの震源地に近いと思われる「この地域は危険であるため、十分に注意すること...」",,,,,
qc_ZBambiant1,items,Quest - Zombiome Challenge,,,バイオーム情報,,,,,
qc_ZBambiant1Desc,items,Quest - Zombiome Challenge,,,"「(Zombiome) Size matters, But still, small and giant zombies are equally dangerous.""",,,,,
qc_ZBambiant2,items,Quest - Zombiome Challenge,,,バイオーム情報,,,,,
qc_ZBambiant2Desc,items,Quest - Zombiome Challenge,,,"""科学者によると、私たちが経験する奇妙な自然現象には震源地があり、その近くでは現象がより激しくなるという。""",,,,,
qc_ZBambiant3,items,Quest - Zombiome Challenge,,,バイオーム情報,,,,,
qc_ZBambiant3Desc,items,Quest - Zombiome Challenge,,,(Zombiome) Global Warming... 雪山の木こりがサボテンが生えてるのを見つけたと報告してきた。,,,,,
qc_ZBambiant4,items,Quest - Zombiome Challenge,,,バイオーム情報,,,,,
qc_ZBambiant4Desc,items,Quest - Zombiome Challenge,,,(Zombiome) 適者生存 (Survival of fittest) なぜバイオマスが狂ったのか みんな不思議がってるゾンビを殺す新しい方法ばかりだ,,,,,
qc_ZBambiant5,items,Quest - Zombiome Challenge,,,バイオーム情報,,,,,
qc_ZBambiant5Desc,items,Quest - Zombiome Challenge,,,(Zombiome) Cursed farmer  枯れた花をたどっていくと、周りの草木とは違う奇妙な枯れ木を発見。自分で切り倒すと言い出したので、誰も見ていない...。,,,,,
qc_ZBambiant6,items,Quest - Zombiome Challenge,,,バイオーム情報,,,,,
qc_ZBambiant6Desc,items,Quest - Zombiome Challenge,,,(Zombiome) Please have a sit. ♪♪♪ I hate cactus; especially when they run after you ...,,,,,
qc_ZBambiant7,items,Quest - Zombiome Challenge,,,バイオーム情報,,,,,
qc_ZBambiant7Desc,items,Quest - Zombiome Challenge,,,(Zombiome) Bad time for picnic.♪変な話だけど、地面が動くようになったから、地面に置いたものを壊すことができるんだ。,,,,,
qc_ZBambiant8,items,Quest - Zombiome Challenge,,,バイオーム情報,,,,,
qc_ZBambiant8Desc,items,Quest - Zombiome Challenge,,,(ゾンビが眠ってるのを見つけてから 宝物を掘るのが怖くなっちゃって。,,,,,
qc_ZBambiant9,items,Quest - Zombiome Challenge,,,バイオーム情報,,,,,
qc_ZBambiant9Desc,items,Quest - Zombiome Challenge,,,（繭子）フリーズ...💢私は懐中電灯なしで雪には入りません。空気が冷たくなってきているので、一瞬で凍りつくかもしれません。,,,,,
__TIPS_______,ui_display,Item stat,,,__________________________________________________,,,,,
ZBactivityTip,Journal Tip,,,,"""ゾンビ化 ""の影響は ""バイオーム ""にも及んでいる我々の愛する母なる地球は我々に背を向けたようだ。周囲を観察し、遠方を探索し、適応する方法があるはずだ。",,,,,
ZBactivityTip_title,Journal Tip,,,,Zombiome 活動,,,,,
ZBepicentreTip,Journal Tip,,,,"""バイオーム活動は特定の震源地で発生し、その範囲は限定的である。""",,,,,
ZBepicentreTip_title,Journal Tip,,,,Zombiome Epicenter,,,,,
ZBmanaTip,Journal Tip,,,,ゾンビオームダスト」は、特定の物質から「@」を抽出する。十分な量の@ffinityを使用すると、ゾンビオームの力を発揮する。ステータスタブにはパワーとコストが表示される。劣化バーには0～100の親密度が表示される。50を超えると遅くなるが、満タンになると上級者向けの「ダストバースト」を使用するようになる。例えば、赤い粉は石や焼けた素材に、青い粉は水や湿気に、黒い粉はゾンビに反応する......。\地形や草むらからは、限られた量しか採取できない。クラフトアイテムの中には、「アナライジングレンズ」「アルターバイオーム」「ディバイニングロッド」などのように、「@」を識別・発見しやすくするものや、ダストパワー、配置可能なブロックなどがあります。,,,,,
ZBmanaTip_title,Journal Tip,,,,Zombiomes Dust,,,,,
ZBburstTip,Journal Tip,,,,"「バーストするとより強力なパワーが解放されるが、使用するまで@finityが消費される。バースト中は、手に持っている化粧品の染料が変化して色が揃う。""",,,,,
ZBburstTip_title,Journal Tip,,,,ゾンビーム・アフィニティバースト,,,,,
ZBbadmanaTip,Journal Tip,,,,「青と炎、赤と水、黒と医療......相反するエネルギーが混ざり合うと、不快で危険な状態になることがあります。,,,,,
ZBbadmanaTip_title,Journal Tip,,,,ゾンビーム・アフィニティ・ミスマッチ,,,,,
ZBhandBreakTip,Journal Tip,,,,"""ゾンビオムダスト ""の寿命は限られています。重要なクラフト材料である不活性なダストに変化します。",,,,,
ZBhandBreakTip_title,Journal Tip,,,,Zombiome Inactive Dust,,,,,
nosackLocked,UI,Menu,,,バッグのファスナーが固着して開かない。,,,,,
nogunLocked,UI,Menu,,,この環境では火薬が爆発することはありません。,,,,,
ZBepiActiv,UI,Menu,,,"""震源地はあなたの存在に反応しています、注意してください！""",,,,,
__ITEM_weapons__,ui_display,Item stat,,,__________________________________________________,,,,,
modWoodRepair,,items,Item,--,リビングウッド,,,,,
modWoodRepairDesc,,items,Item,--,"「リペアツールに装着して、木材を自己再生させることができます。時間経過で修復を繰り返し、狭い範囲に作用し、ブロックを強化する。""",,,,,
meleeWpnSpearFire,,items,Item,--,ファイヤースピア,,,,,
meleeWpnSpearFireDesc,,items,Item,--,"""ゾンビを発火・縮小、投擲衝撃で射程10m""",,,,,
meleeWpnSpearFreeze,,items,Item,--,フロストハープーン,,,,,
meleeWpnSpearFreezeDesc,,items,Item,--,ハープーン・スピアはスタック可能。[007FFF]@[-]であれば着弾部を凍結させる。2%の確率で刺さって壊れない。,,,,,
itemUncraftable,,items,Item,--,Uncraftable !,,,,,
itemFromRainBow,,items,Item,--,RainBowを使って作成する。,,,,,
gunBowElemental,,items,Item,--,RainBow,,,,,
gunBowElementalDesc,,items,Item,--,"""色のついた矢 ""のみを発射する。持っている間、@>50でインベントリの石の矢がゆっくりと色のついた矢に変わる。",,,,,
ammoArrowBlue,,items,Item,--,ブルーアロー,,,,,
ammoArrowBlueDesc,,items,Item,--,Wets and slows entities in impact area. \nOnly crafted and shot by the RainBow.,,,,,
ammoArrowGreen,,items,Item,--,グリーンアロー,,,,,
ammoArrowGreenDesc,,items,Item,--,インパクトエリアのルートエンティティ(Root Entity)。,,,,,
ammoArrowWhite,,items,Item,--,ホワイトアロー,,,,,
ammoArrowWhiteDesc,,items,Item,--,矢はゆっくりとした速度で動く。着弾地点にわずかに電撃を与える。 \nOnly crafted and shot by the RainBow.,,,,,
ammoArrowRed,,items,Item,--,レッドアロー,,,,,
ammoArrowRedDesc,,items,Item,--,着弾地点に炎を灯す。,,,,,
ammoArrowBlack,,items,Item,--,ブラックアロー,,,,,
ammoArrowBlackDesc,,items,Item,--,"""この矢は重力が変化し衝撃で近くのランダムな存在(10m未満)を殺す。[FA3232]おそらくプレイヤー[-]。色違いの跳ね返りに注意。""",,,,,
__ITEM_weaponmods__,ui_display,Item stat,,,__________________________________________________,,,,,
modZBcaveSeeker,,items,Item,--,洞窟への侵入,,,,,
modZBcaveSeekerDesc,,items,Item,--,"""使用すると壊れるシャベルに装着！\地中に潜り込み、空洞を探す。必要数 [007FFF]@[-]>50行き着く先は要注意！""",,,,,
modGreenMastery,,items,Item,--,ナチュラルテクニック,,,,,
modGreenMasteryDesc,,items,Item,--,"""ブローラー及びアーチェリーの武器に装着すると、関連スキルが変化する。武器スキルが低い場合は有効だが、そうでない場合はスキルメニューで確認してほしい。",,,,,
modBlackMastery,,items,Item,--,ダーク・テクニック,,,,,
